"Age_Group","Year","Gender","Population"
"0-4",2014,"Total",1781
"0-4",2014,"Male",898
"0-4",2014,"Female",883
"0-4",2015,"Total",1798
"0-4",2015,"Male",907
"0-4",2015,"Female",891
"0-4",2016,"Total",1818
"0-4",2016,"Male",917
"0-4",2016,"Female",901
"0-4",2017,"Total",1841
"0-4",2017,"Male",928
"0-4",2017,"Female",913
"0-4",2018,"Total",1859
"0-4",2018,"Male",938
"0-4",2018,"Female",921
"0-4",2019,"Total",1871
"0-4",2019,"Male",943
"0-4",2019,"Female",928
"0-4",2020,"Total",1881
"0-4",2020,"Male",949
"0-4",2020,"Female",932
"0-4",2021,"Total",1902
"0-4",2021,"Male",959
"0-4",2021,"Female",943
"0-4",2022,"Total",1905
"0-4",2022,"Male",960
"0-4",2022,"Female",945
"0-4",2023,"Total",1893
"0-4",2023,"Male",954
"0-4",2023,"Female",939
"0-4",2024,"Total",1883
"0-4",2024,"Male",949
"0-4",2024,"Female",934
"5-9",2014,"Total",1784
"5-9",2014,"Male",900
"5-9",2014,"Female",884
"5-9",2015,"Total",1801
"5-9",2015,"Male",909
"5-9",2015,"Female",892
"5-9",2016,"Total",1822
"5-9",2016,"Male",920
"5-9",2016,"Female",902
"5-9",2017,"Total",1843
"5-9",2017,"Male",930
"5-9",2017,"Female",913
"5-9",2018,"Total",1863
"5-9",2018,"Male",940
"5-9",2018,"Female",923
"5-9",2019,"Total",1874
"5-9",2019,"Male",946
"5-9",2019,"Female",928
"5-9",2020,"Total",1885
"5-9",2020,"Male",951
"5-9",2020,"Female",934
"5-9",2021,"Total",1906
"5-9",2021,"Male",962
"5-9",2021,"Female",944
"5-9",2022,"Total",1908
"5-9",2022,"Male",963
"5-9",2022,"Female",945
"5-9",2023,"Total",1896
"5-9",2023,"Male",957
"5-9",2023,"Female",939
"5-9",2024,"Total",1886
"5-9",2024,"Male",952
"5-9",2024,"Female",934
"10-14",2014,"Total",1674
"10-14",2014,"Male",846
"10-14",2014,"Female",828
"10-14",2015,"Total",1690
"10-14",2015,"Male",854
"10-14",2015,"Female",836
"10-14",2016,"Total",1709
"10-14",2016,"Male",864
"10-14",2016,"Female",845
"10-14",2017,"Total",1729
"10-14",2017,"Male",874
"10-14",2017,"Female",855
"10-14",2018,"Total",1748
"10-14",2018,"Male",884
"10-14",2018,"Female",864
"10-14",2019,"Total",1759
"10-14",2019,"Male",889
"10-14",2019,"Female",870
"10-14",2020,"Total",1768
"10-14",2020,"Male",894
"10-14",2020,"Female",874
"10-14",2021,"Total",1788
"10-14",2021,"Male",904
"10-14",2021,"Female",884
"10-14",2022,"Total",1790
"10-14",2022,"Male",905
"10-14",2022,"Female",885
"10-14",2023,"Total",1779
"10-14",2023,"Male",899
"10-14",2023,"Female",880
"10-14",2024,"Total",1769
"10-14",2024,"Male",894
"10-14",2024,"Female",875
"15-19",2014,"Total",1678
"15-19",2014,"Male",837
"15-19",2014,"Female",841
"15-19",2015,"Total",1694
"15-19",2015,"Male",845
"15-19",2015,"Female",849
"15-19",2016,"Total",1713
"15-19",2016,"Male",854
"15-19",2016,"Female",859
"15-19",2017,"Total",1733
"15-19",2017,"Male",864
"15-19",2017,"Female",869
"15-19",2018,"Total",1752
"15-19",2018,"Male",873
"15-19",2018,"Female",879
"15-19",2019,"Total",1763
"15-19",2019,"Male",879
"15-19",2019,"Female",884
"15-19",2020,"Total",1773
"15-19",2020,"Male",884
"15-19",2020,"Female",889
"15-19",2021,"Total",1793
"15-19",2021,"Male",894
"15-19",2021,"Female",899
"15-19",2022,"Total",1795
"15-19",2022,"Male",895
"15-19",2022,"Female",900
"15-19",2023,"Total",1783
"15-19",2023,"Male",889
"15-19",2023,"Female",894
"15-19",2024,"Total",1773
"15-19",2024,"Male",884
"15-19",2024,"Female",889
"20-24",2014,"Total",1564
"20-24",2014,"Male",757
"20-24",2014,"Female",807
"20-24",2015,"Total",1578
"20-24",2015,"Male",764
"20-24",2015,"Female",814
"20-24",2016,"Total",1597
"20-24",2016,"Male",773
"20-24",2016,"Female",824
"20-24",2017,"Total",1615
"20-24",2017,"Male",782
"20-24",2017,"Female",833
"20-24",2018,"Total",1632
"20-24",2018,"Male",790
"20-24",2018,"Female",842
"20-24",2019,"Total",1642
"20-24",2019,"Male",795
"20-24",2019,"Female",847
"20-24",2020,"Total",1651
"20-24",2020,"Male",799
"20-24",2020,"Female",852
"20-24",2021,"Total",1669
"20-24",2021,"Male",808
"20-24",2021,"Female",861
"20-24",2022,"Total",1671
"20-24",2022,"Male",809
"20-24",2022,"Female",862
"20-24",2023,"Total",1660
"20-24",2023,"Male",804
"20-24",2023,"Female",856
"20-24",2024,"Total",1651
"20-24",2024,"Male",799
"20-24",2024,"Female",852
"25-29",2014,"Total",1585
"25-29",2014,"Male",759
"25-29",2014,"Female",826
"25-29",2015,"Total",1600
"25-29",2015,"Male",766
"25-29",2015,"Female",834
"25-29",2016,"Total",1617
"25-29",2016,"Male",774
"25-29",2016,"Female",843
"25-29",2017,"Total",1636
"25-29",2017,"Male",783
"25-29",2017,"Female",853
"25-29",2018,"Total",1653
"25-29",2018,"Male",791
"25-29",2018,"Female",862
"25-29",2019,"Total",1663
"25-29",2019,"Male",796
"25-29",2019,"Female",867
"25-29",2020,"Total",1672
"25-29",2020,"Male",800
"25-29",2020,"Female",872
"25-29",2021,"Total",1690
"25-29",2021,"Male",809
"25-29",2021,"Female",881
"25-29",2022,"Total",1692
"25-29",2022,"Male",810
"25-29",2022,"Female",882
"25-29",2023,"Total",1682
"25-29",2023,"Male",805
"25-29",2023,"Female",877
"25-29",2024,"Total",1673
"25-29",2024,"Male",801
"25-29",2024,"Female",872
"30-34",2014,"Total",1673
"30-34",2014,"Male",813
"30-34",2014,"Female",860
"30-34",2015,"Total",1689
"30-34",2015,"Male",821
"30-34",2015,"Female",868
"30-34",2016,"Total",1708
"30-34",2016,"Male",830
"30-34",2016,"Female",878
"30-34",2017,"Total",1728
"30-34",2017,"Male",840
"30-34",2017,"Female",888
"30-34",2018,"Total",1745
"30-34",2018,"Male",848
"30-34",2018,"Female",897
"30-34",2019,"Total",1756
"30-34",2019,"Male",854
"30-34",2019,"Female",902
"30-34",2020,"Total",1765
"30-34",2020,"Male",858
"30-34",2020,"Female",907
"30-34",2021,"Total",1784
"30-34",2021,"Male",867
"30-34",2021,"Female",917
"30-34",2022,"Total",1786
