Region,Year,Gender,Population
Ampara,2014,Female,344
Ampara,2014,Male,322
Ampara,2014,Total,666
Ampara,2015,Female,348
Ampara,2015,Male,326
Ampara,2015,Total,674
Ampara,2016,Female,354
Ampara,2016,Male,332
Ampara,2016,Total,686
Ampara,2017,Female,361
Ampara,2017,Male,339
Ampara,2017,Total,700
Ampara,2018,Female,371
Ampara,2018,Male,348
Ampara,2018,Total,719
Ampara,2019,Female,376
Ampara,2019,Male,352
Ampara,2019,Total,728
Ampara,2020,Female,380
Ampara,2020,Male,356
Ampara,2020,Total,736
Ampara,2021,Female,388
Ampara,2021,Male,364
Ampara,2021,Total,752
Ampara,2022,Female,389
Ampara,2022,Male,365
Ampara,2022,Total,754
Ampara,2023,Female,386
Ampara,2023,Male,363
Ampara,2023,Total,749
Ampara,2024,Female,385
Ampara,2024,Male,361
Ampara,2024,Total,746
Anuradhapura,2014,Female,453
Anuradhapura,2014,Male,433
Anuradhapura,2014,Total,886
Anuradhapura,2015,Female,459
Anuradhapura,2015,Male,437
Anuradhapura,2015,Total,896
Anuradhapura,2016,Female,465
Anuradhapura,2016,Male,444
Anuradhapura,2016,Total,909
Anuradhapura,2017,Female,472
Anuradhapura,2017,Male,450
Anuradhapura,2017,Total,922
Anuradhapura,2018,Female,476
Anuradhapura,2018,Male,454
Anuradhapura,2018,Total,930
Anuradhapura,2019,Female,480
Anuradhapura,2019,Male,457
Anuradhapura,2019,Total,937
Anuradhapura,2020,Female,483
Anuradhapura,2020,Male,460
Anuradhapura,2020,Total,943
Anuradhapura,2021,Female,488
Anuradhapura,2021,Male,466
Anuradhapura,2021,Total,954
Anuradhapura,2022,Female,490
Anuradhapura,2022,Male,467
Anuradhapura,2022,Total,957
Anuradhapura,2023,Female,486
Anuradhapura,2023,Male,464
Anuradhapura,2023,Total,950
Anuradhapura,2024,Female,483
Anuradhapura,2024,Male,461
Anuradhapura,2024,Total,944
Badulla,2014,Female,434
Badulla,2014,Male,402
Badulla,2014,Total,836
Badulla,2015,Female,439
Badulla,2015,Male,407
Badulla,2015,Total,846
Badulla,2016,Female,445
Badulla,2016,Male,412
Badulla,2016,Total,857
Badulla,2017,Female,451
Badulla,2017,Male,417
Badulla,2017,Total,868
Badulla,2018,Female,453
Badulla,2018,Male,420
Badulla,2018,Total,873
Badulla,2019,Female,457
Badulla,2019,Male,423
Badulla,2019,Total,880
Badulla,2020,Female,460
Badulla,2020,Male,426
Badulla,2020,Total,886
Badulla,2021,Female,465
Badulla,2021,Male,430
Badulla,2021,Total,895
Badulla,2022,Female,467
Badulla,2022,Male,432
Badulla,2022,Total,899
Badulla,2023,Female,465
Badulla,2023,Male,431
Badulla,2023,Total,896
Badulla,2024,Female,465
Badulla,2024,Male,430
Badulla,2024,Total,895
Batticaloa,2014,Female,280
Batticaloa,2014,Male,255
Batticaloa,2014,Total,535
Batticaloa,2015,Female,283
Batticaloa,2015,Male,258
Batticaloa,2015,Total,541
Batticaloa,2016,Female,289
Batticaloa,2016,Male,262
Batticaloa,2016,Total,551
Batticaloa,2017,Female,294
Batticaloa,2017,Male,267
Batticaloa,2017,Total,561
Batticaloa,2018,Female,299
Batticaloa,2018,Male,271
Batticaloa,2018,Total,570
Batticaloa,2019,Female,301
Batticaloa,2019,Male,274
Batticaloa,2019,Total,575
Batticaloa,2020,Female,303
Batticaloa,2020,Male,276
Batticaloa,2020,Total,579
Batticaloa,2021,Female,309
Batticaloa,2021,Male,281
Batticaloa,2021,Total,590
Batticaloa,2022,Female,309
Batticaloa,2022,Male,281
Batticaloa,2022,Total,590
Batticaloa,2023,Female,305
Batticaloa,2023,Male,277
Batticaloa,2023,Total,582
Batticaloa,2024,Female,302
Batticaloa,2024,Male,275
Batticaloa,2024,Total,577
Colombo,2014,Female,1198
Colombo,2014,Male,1155
Colombo,2014,Total,2353
Colombo,2015,Female,1206
Colombo,2015,Male,1161
Colombo,2015,Total,2367
Colombo,2016,Female,1216
Colombo,2016,Male,1171
Colombo,2016,Total,2387
Colombo,2017,Female,1226
Colombo,2017,Male,1181
Colombo,2017,Total,2407
Colombo,2018,Female,1242
Colombo,2018,Male,1197
Colombo,2018,Total,2439
Colombo,2019,Female,1247
Colombo,2019,Male,1201
Colombo,2019,Total,2448
Colombo,2020,Female,1250
Colombo,2020,Male,1205
Colombo,2020,Total,2455
Colombo,2021,Female,1263
Colombo,2021,Male,1217
Colombo,2021,Total,2480
Colombo,2022,Female,1262
Colombo,2022,Male,1216
Colombo,2022,Total,2478
Colombo,2023,Female,1253
Colombo,2023,Male,1207
Colombo,2023,Total,2460
Colombo,2024,Female,1246
Colombo,2024,Male,1200
Colombo,2024,Total,2446
Galle,2014,Female,564
Galle,2014,Male,519
Galle,2014,Total,1083
Galle,2015,Female,568
Galle,2015,Male,524
Galle,2015,Total,1092
Galle,2016,Female,575
Galle,2016,Male,529
Galle,2016,Total,1104
Galle,2017,Female,581
Galle,2017,Male,535
Galle,2017,Total,1116
Galle,2018,Female,585
Galle,2018,Male,539
Galle,2018,Total,1124
Galle,2019,Female,588
Galle,2019,Male,542
Galle,2019,Total,1130
Galle,2020,Female,591
Galle,2020,Male,544
Galle,2020,Total,1135
Galle,2021,Female,597
Galle,2021,Male,550
Galle,2021,Total,1147
Galle,2022,Female,597
Galle,2022,Male,550
Galle,2022,Total,1147
Galle,2023,Female,593
Galle,2023,Male,546
Galle,2023,Total,1139
Galle,2024,Female,588
Galle,2024,Male,542
Galle,2024,Total,1130
Gampaha,2014,Female,1206
Gampaha,2014,Male,1133
Gampaha,2014,Total,2339
Gampaha,2015,Female,1214
Gampaha,2015,Male,1141
Gampaha,2015,Total,2355
Gampaha,2016,Female,1223
Gampaha,2016,Male,1150
Gampaha,2016,Total,2373
Gampaha,2017,Female,1234
Gampaha,2017,Male,1160
Gampaha,2017,Total,2394
Gampaha,2018,Female,1242
Gampaha,2018,Male,1167
Gampaha,2018,Total,2409
Gampaha,2019,Female,1246
Gampaha,2019,Male,1171
Gampaha,2019,Total,2417
Gampaha,2020,Female,1249
Gampaha,2020,Male,1174
Gampaha,2020,Total,2423
Gampaha,2021,Female,1259
Gampaha,2021,Male,1184
Gampaha,2021,Total,2443
Gampaha,2022,Female,1257
Gampaha,2022,Male,1182
Gampaha,2022,Total,2439
Gampaha,2023,Female,1248
Gampaha,2023,Male,1173
Gampaha,2023,Total,2421
Gampaha,2024,Female,1238
Gampaha,2024,Male,1164
Gampaha,2024,Total,2402
Hambantota,2014,Female,314
Hambantota,2014,Male,304
Hambantota,2014,Total,618
Hambantota,2015,Female,318
Hambantota,2015,Male,307
Hambantota,2015,Total,625
Hambantota,2016,Female,323
Hambantota,2016,Male,311
Hambantota,2016,Total,634
Hambantota,2017,Female,327
Hambantota,2017,Male,316
Hambantota,2017,Total,643
Hambantota,2018,Female,333
Hambantota,2018,Male,322
Hambantota,2018,Total,655
Hambantota,2019,Female,336
Hambantota,2019,Male,325
Hambantota,2019,Total,661
Hambantota,2020,Female,340
Hambantota,2020,Male,328
Hambantota,2020,Total,668
Hambantota,2021,Female,344
Hambantota,2021,Male,332
Hambantota,2021,Total,676
Hambantota,2022,Female,346
Hambantota,2022,Male,335
Hambantota,2022,Total,681
Hambantota,2023,Female,346
Hambantota,2023,Male,334
Hambantota,2023,Total,680
Hambantota,2024,Female,346
Hambantota,2024,Male,334
Hambantota,2024,Total,680
Jaffna,2014,Female,315
Jaffna,2014,Male,278
Jaffna,2014,Total,593
Jaffna,2015,Female,316
Jaffna,2015,Male,280
Jaffna,2015,Total,596
Jaffna,2016,Female,318
Jaffna,2016,Male,282
Jaffna,2016,Total,600
Jaffna,2017,Female,321
Jaffna,2017,Male,284
Jaffna,2017,Total,605
Jaffna,2018,Female,325
Jaffna,2018,Male,288
Jaffna,2018,Total,613
Jaffna,2019,Female,327
Jaffna,2019,Male,290
Jaffna,2019,Total,617
Jaffna,2020,Female,329
Jaffna,2020,Male,292
Jaffna,2020,Total,621
Jaffna,2021,Female,332
Jaffna,2021,Male,294
Jaffna,2021,Total,626
Jaffna,2022,Female,334
Jaffna,2022,Male,295
Jaffna,2022,Total,629
Jaffna,2023,Female,333
Jaffna,2023,Male,295
Jaffna,2023,Total,628
Jaffna,2024,Female,334
Jaffna,2024,Male,295
Jaffna,2024,Total,629
Kalutara,2014,Female,641
Kalutara,2014,Male,601
Kalutara,2014,Total,1242
Kalutara,2015,Female,646
Kalutara,2015,Male,606
Kalutara,2015,Total,1252
Kalutara,2016,Female,652
Kalutara,2016,Male,611
Kalutara,2016,Total,1263
Kalutara,2017,Female,658
Kalutara,2017,Male,617
Kalutara,2017,Total,1275
Kalutara,2018,Female,661
Kalutara,2018,Male,620
Kalutara,2018,Total,1281
Kalutara,2019,Female,663
Kalutara,2019,Male,621
Kalutara,2019,Total,1284
Kalutara,2020,Female,664
Kalutara,2020,Male,623
Kalutara,2020,Total,1287
Kalutara,2021,Female,669
Kalutara,2021,Male,627
Kalutara,2021,Total,1296
Kalutara,2022,Female,667
Kalutara,2022,Male,625
Kalutara,2022,Total,1292
Kalutara,2023,Female,660
Kalutara,2023,Male,619
Kalutara,2023,Total,1279
Kalutara,2024,Female,654
Kalutara,2024,Male,613
Kalutara,2024,Total,1267
Kandy,2014,Female,735
Kandy,2014,Male,669
Kandy,2014,Total,1404
Kandy,2015,Female,741
Kandy,2015,Male,676
Kandy,2015,Total,1417
Kandy,2016,Female,750
Kandy,2016,Male,684
Kandy,2016,Total,1434
Kandy,2017,Female,760
Kandy,2017,Male,693
Kandy,2017,Total,1453
Kandy,2018,Female,768
Kandy,2018,Male,700
Kandy,2018,Total,1468
Kandy,2019,Female,772
Kandy,2019,Male,704
Kandy,2019,Total,1476
Kandy,2020,Female,776
Kandy,2020,Male,707
Kandy,2020,Total,1483
Kandy,2021,Female,785
Kandy,2021,Male,716
Kandy,2021,Total,1501
Kandy,2022,Female,784
Kandy,2022,Male,715
Kandy,2022,Total,1499
Kandy,2023,Female,775
Kandy,2023,Male,707
Kandy,2023,Total,1482
Kandy,2024,Female,770
Kandy,2024,Male,701
Kandy,2024,Total,1471
Kegalle,2014,Female,448
Kegalle,2014,Male,408
Kegalle,2014,Total,856
Kegalle,2015,Female,452
Kegalle,2015,Male,411
Kegalle,2015,Total,863
Kegalle,2016,Female,456
Kegalle,2016,Male,415
Kegalle,2016,Total,871
Kegalle,2017,Female,460
Kegalle,2017,Male,419
Kegalle,2017,Total,879
Kegalle,2018,Female,463
Kegalle,2018,Male,421
Kegalle,2018,Total,884
Kegalle,2019,Female,464
Kegalle,2019,Male,423
Kegalle,2019,Total,887
Kegalle,2020,Female,466
Kegalle,2020,Male,425
Kegalle,2020,Total,891
Kegalle,2021,Female,470
Kegalle,2021,Male,428
Kegalle,2021,Total,898
Kegalle,2022,Female,470
Kegalle,2022,Male,428
Kegalle,2022,Total,898
Kegalle,2023,Female,467
Kegalle,2023,Male,425
Kegalle,2023,Total,892
Kegalle,2024,Female,464
Kegalle,2024,Male,422
Kegalle,2024,Total,886
Kilinochchi,2014,Female,60
Kilinochchi,2014,Male,58
Kilinochchi,2014,Total,118
Kilinochchi,2015,Female,61
Kilinochchi,2015,Male,58
Kilinochchi,2015,Total,119
Kilinochchi,2016,Female,61
Kilinochchi,2016,Male,59
Kilinochchi,2016,Total,120
Kilinochchi,2017,Female,62
Kilinochchi,2017,Male,60
Kilinochchi,2017,Total,122
Kilinochchi,2018,Female,64
Kilinochchi,2018,Male,62
Kilinochchi,2018,Total,126
Kilinochchi,2019,Female,66
Kilinochchi,2019,Male,63
Kilinochchi,2019,Total,129
Kilinochchi,2020,Female,66
Kilinochchi,2020,Male,64
Kilinochchi,2020,Total,130
Kilinochchi,2021,Female,68
Kilinochchi,2021,Male,65
Kilinochchi,2021,Total,133
Kilinochchi,2022,Female,69
Kilinochchi,2022,Male,66
Kilinochchi,2022,Total,135
Kilinochchi,2023,Female,69
Kilinochchi,2023,Male,67
Kilinochchi,2023,Total,136
Kilinochchi,2024,Female,70
Kilinochchi,2024,Male,68
Kilinochchi,2024,Total,138
Kurunegala,2014,Female,856
Kurunegala,2014,Male,791
Kurunegala,2014,Total,1647
Kurunegala,2015,Female,863
Kurunegala,2015,Male,798
Kurunegala,2015,Total,1661
Kurunegala,2016,Female,873
Kurunegala,2016,Male,807
Kurunegala,2016,Total,1680
Kurunegala,2017,Female,883
Kurunegala,2017,Male,816
Kurunegala,2017,Total,1699
Kurunegala,2018,Female,889
Kurunegala,2018,Male,822
Kurunegala,2018,Total,1711
Kurunegala,2019,Female,893
Kurunegala,2019,Male,826
Kurunegala,2019,Total,1719
Kurunegala,2020,Female,897
Kurunegala,2020,Male,829
Kurunegala,2020,Total,1726
Kurunegala,2021,Female,906
Kurunegala,2021,Male,837
Kurunegala,2021,Total,1743
Kurunegala,2022,Female,905
Kurunegala,2022,Male,837
Kurunegala,2022,Total,1742
Kurunegala,2023,Female,898
Kurunegala,2023,Male,829
Kurunegala,2023,Total,1727
Kurunegala,2024,Female,890
Kurunegala,2024,Male,822
Kurunegala,2024,Total,1712
Mannar,2014,Female,51
Mannar,2014,Male,51
Mannar,2014,Total,102
Mannar,2015,Female,51
Mannar,2015,Male,52
Mannar,2015,Total,103
Mannar,2016,Female,52
Mannar,2016,Male,53
Mannar,2016,Total,105
Mannar,2017,Female,53
Mannar,2017,Male,53
Mannar,2017,Total,106
Mannar,2018,Female,54
Mannar,2018,Male,55
Mannar,2018,Total,109
Mannar,2019,Female,55
Mannar,2019,Male,56
Mannar,2019,Total,111
Mannar,2020,Female,56
Mannar,2020,Male,56
Mannar,2020,Total,112
Mannar,2021,Female,57
Mannar,2021,Male,57
Mannar,2021,Total,114
Mannar,2022,Female,57
Mannar,2022,Male,58
Mannar,2022,Total,115
Mannar,2023,Female,58
Mannar,2023,Male,58
Mannar,2023,Total,116
Mannar,2024,Female,58
Mannar,2024,Male,59
Mannar,2024,Total,117
Matale,2014,Female,257
Matale,2014,Male,239
Matale,2014,Total,496
Matale,2015,Female,259
Matale,2015,Male,242
Matale,2015,Total,501
Matale,2016,Female,263
Matale,2016,Male,245
Matale,2016,Total,508
Matale,2017,Female,266
Matale,2017,Male,248
Matale,2017,Total,514
Matale,2018,Female,269
Matale,2018,Male,250
Matale,2018,Total,519
Matale,2019,Female,270
Matale,2019,Male,252
Matale,2019,Total,522
Matale,2020,Female,272
Matale,2020,Male,253
Matale,2020,Total,525
Matale,2021,Female,274
Matale,2021,Male,256
Matale,2021,Total,530
Matale,2022,Female,274
Matale,2022,Male,256
Matale,2022,Total,530
Matale,2023,Female,272
Matale,2023,Male,253
Matale,2023,Total,525
Matale,2024,Female,269
Matale,2024,Male,251
Matale,2024,Total,520
Matara,2014,Female,434
Matara,2014,Male,398
Matara,2014,Total,832
Matara,2015,Female,438
Matara,2015,Male,402
Matara,2015,Total,840
Matara,2016,Female,442
Matara,2016,Male,406
Matara,2016,Total,848
Matara,2017,Female,446
Matara,2017,Male,410
Matara,2017,Total,856
Matara,2018,Female,447
Matara,2018,Male,411
