District,1981,2001,2012,2024,Rank 1981,Rank 2001,Rank 2012,Rank 2024
Colombo,2605,3330,3438,3549,1,1,1,1
Gampaha,994,1539,1719,1774,2,2,2,2
Kalutara,516,677,775,804,4,3,3,3
Kandy,554,667,717,779,3,4,4,4
Galle,487,613,658,694,6,5,5,5
Matara,516,600,641,648,4,6,6,6
Jaffna,401,-,629,630,8,-,7,7
Kegalle,412,466,499,529,7,7,8,8
Nuwara Eliya,354,412,417,427,9,8,9,9
Kurunegala,254,316,350,379,10,9,10,10
Ratnapura,246,314,336,355,11,10,11,11
Badulla,227,276,288,314,12,11,12,12
Puttalam,165,246,265,278,14,12,13,13
Hambantota,164,211,240,272,15,14,15,14
Matale,180,226,248,267,13,13,14,15
Batticaloa,134,-,202,251,16,-,16,16
Trincomalee,98,-,150,180,17,-,18,17
Ampara,86,140,154,178,18,15,17,18
Anuradhapura,82,112,129,147,19,17,20,19
Polonnaruwa,77,117,132,137,20,16,19,20
Kilinochchi,-,-,94,115,25,-,21,21
Moneragala,49,72,82,96,22,18,23,22
Vavuniya,36,-,92,96,24,-,22,22
Mannar,53,-,53,66,21,-,24,24
Mullaitivu,39,-,38,50,23,-,25,25
